iter	Passed	Remaining
0	10	10535
1	19	9880
2	30	10034
3	38	9558
4	49	9880
5	60	9949
6	66	9454
7	72	9037
8	79	8716
9	85	8479
10	90	8149
11	99	8175
12	109	8325
13	118	8351
14	126	8291
15	133	8181
16	140	8104
17	148	8078
18	157	8140
19	166	8158
20	175	8195
21	185	8229
22	196	8362
23	210	8540
24	222	8671
25	234	8795
26	246	8871
27	256	8908
28	264	8853
29	272	8804
30	280	8778
31	293	8886
32	307	9018
33	322	9157
34	335	9256
35	344	9233
36	351	9160
37	359	9089
38	365	9007
39	369	8864
40	376	8795
41	384	8772
42	393	8762
43	401	8714
44	408	8661
45	417	8666
46	426	8653
47	428	8493
48	432	8395
49	441	8381
50	450	8391
51	461	8411
52	466	8335
53	473	8296
54	480	8248
55	486	8205
56	493	8161
57	500	8120
58	506	8078
59	516	8093
60	523	8056
61	533	8072
62	543	8076
63	550	8049
64	557	8020
65	564	7985
66	570	7950
67	578	7933
68	588	7937
69	603	8019
70	617	8081
71	629	8107
72	642	8160
73	651	8158
74	659	8132
75	666	8107
76	676	8107
77	684	8085
78	690	8050
79	701	8071
80	713	8092
81	720	8060
82	729	8055
83	736	8028
84	746	8040
85	757	8045
86	764	8025
87	771	7994
88	777	7962
89	784	7931
90	791	7906
91	805	7949
92	818	7979
93	831	8010
94	844	8045
95	851	8019
96	862	8026
97	869	8001
98	876	7973
99	882	7944
100	889	7916
101	897	7902
102	905	7885
103	915	7885
104	926	7898
105	940	7929
106	953	7954
107	964	7966
108	978	7996
109	989	8009
110	1000	8009
111	1010	8008
112	1017	7990
113	1027	7983
114	1035	7972
115	1046	7975
116	1056	7970
117	1064	7956
118	1072	7936
119	1078	7909
120	1085	7883
121	1091	7858
122	1098	7834
123	1105	7810
124	1112	7785
125	1118	7760
126	1125	7736
127	1132	7714
128	1139	7690
129	1145	7666
130	1152	7643
131	1158	7619
132	1165	7600
133	1172	7576
134	1178	7553
135	1185	7531
136	1192	7514
137	1204	7525
138	1217	7539
139	1228	7548
140	1241	7565
141	1251	7564
142	1258	7542
143	1265	7520
144	1274	7513
145	1280	7492
146	1287	7471
147	1294	7449
148	1301	7435
149	1309	7421
150	1318	7415
151	1328	7414
152	1340	7419
153	1350	7419
154	1360	7418
155	1368	7405
156	1375	7385
157	1384	7376
158	1392	7363
159	1400	7352
160	1410	7351
161	1419	7344
162	1428	7337
163	1439	7339
164	1451	7345
165	1460	7336
166	1472	7346
167	1480	7333
168	1488	7320
169	1495	7300
170	1504	7293
171	1511	7276
172	1518	7260
173	1527	7250
174	1539	7256
175	1548	7252
176	1557	7242
177	1567	7236
178	1577	7234
179	1586	7226
180	1595	7219
181	1605	7216
182	1616	7217
183	1629	7227
184	1643	7240
185	1652	7231
186	1659	7213
187	1665	7194
188	1673	7179
189	1682	7174
190	1690	7159
191	1698	7146
192	1709	7148
193	1722	7155
194	1735	7164
195	1744	7155
196	1751	7138
197	1757	7120
198	1764	7102
199	1771	7085
200	1778	7070
201	1785	7052
202	1791	7034
203	1798	7016
204	1806	7005
205	1815	6995
206	1821	6978
207	1828	6962
208	1835	6946
209	1843	6933
210	1850	6919
211	1858	6906
212	1865	6893
213	1873	6880
214	1880	6865
215	1887	6850
216	1894	6834
217	1900	6817
218	1907	6801
219	1915	6789
220	1924	6785
221	1931	6770
222	1940	6760
223	1949	6755
224	1957	6742
225	1965	6730
226	1973	6718
227	1982	6713
228	1992	6709
229	2002	6703
230	2010	6692
231	2017	6679
232	2024	6665
233	2034	6660
234	2046	6662
235	2056	6658
236	2065	6648
237	2072	6635
238	2079	6620
239	2089	6616
240	2098	6608
241	2106	6598
242	2113	6582
243	2119	6566
244	2126	6551
245	2132	6537
246	2138	6520
247	2145	6504
248	2151	6488
249	2157	6473
250	2164	6459
